resena_id,cliente_id,libro_id,calificacion,comentario,fecha_resena
215,424,978-84-376-0494-7,3,Bom para passar o tempo.,2024-03-18
216,424,978-0-452-28831-7,4,Fácil de recomendar.,2024-03-16
217,424,978-1-49-205387-1,4,História bem construída.,2024-02-28
218,919,978-0-59-600920-5,4,Bem escrito e envolvente.,2024-01-29
219,919,978-0-06-231609-7,2,Poderia ser melhor.,2024-03-11
220,731,978-0-307-58846-7,4,Great pacing and characters.,2024-03-07
221,731,978-0-13-468599-1,2,It had potential but failed.,2024-03-08
222,731,978-1-59-327599-0,2,"Not terrible, not good either.",2024-02-25
223,78,978-84-376-0494-7,4,Recomendado.,2024-02-13
224,342,978-0-15-601219-5,5,De los mejores que he leído en años.,2024-02-11
225,342,978-84-664-0542-1,5,Una experiencia que me marcó.,2024-02-19
226,6,978-1-61-729608-6,5,Cinco estrelas sem pensar duas vezes.,2024-02-12
227,187,978-0-307-58846-7,3,Cumpre o básico.,2024-03-05
228,542,978-0-525-51823-7,5,Uma verdadeira obra-prima.,2024-01-30
229,542,978-1-25-014405-8,1,Muito ruim.,2024-01-21
230,580,978-84-663-4265-8,5,Uma verdadeira obra-prima.,2024-01-22
231,580,978-1-59327-950-9,5,Superou expectativas.,2024-02-18
232,580,978-0-7432-7358-9,1,Muito ruim.,2024-02-09
233,580,978-84-938-4620-5,2,Não é muito bom.,2024-01-11
234,328,978-0-06-231609-7,1,Nothing redeemable here.,2024-03-01
235,328,978-0-452-28831-7,5,One of my all-time favorites.,2024-03-08
236,328,978-0-13-468599-1,5,Beautifully written.,2024-02-29
237,376,978-1-61-729443-3,5,Superou expectativas.,2024-01-31
238,602,978-0-385-07473-3,4,História bem construída.,2024-02-27
239,394,978-1-59327-992-9,4,I liked it a lot.,2024-01-28
240,394,978-85-508-0460-8,1,Story makes zero sense.,2024-03-08
241,804,978-84-663-5341-8,3,Regular.,2024-02-21
242,804,978-0-525-51823-7,5,Maravilhoso.,2024-03-09
243,804,978-84-663-4265-8,5,Leitura obrigatória.,2024-01-13
244,804,978-84-938-4620-5,2,Não prende a atenção.,2024-02-18
245,40,978-1-59327-992-9,4,Quite enjoyable.,2024-01-26
246,106,978-84-670-5504-3,4,Me tuvo enganchada de principio a fin.,2024-01-14
247,106,978-0-07-352340-8,3,"Predecible, pero disfrutable.",2024-01-28
248,283,978-84-9838-137-0,4,Gostei bastante.,2024-01-20
249,283,978-0-07-352340-8,5,Uma verdadeira obra-prima.,2024-01-26
250,283,978-0-13-468599-1,4,Gostei bastante.,2024-02-05
251,734,978-0-7432-7358-9,1,Story makes zero sense.,2024-01-18
252,734,978-1-32-400189-1,3,Good casual reading.,2024-01-20
253,734,978-1-61-729443-3,1,"Very boring, couldn’t connect.",2024-02-27
254,370,978-84-670-5504-3,3,Algumas partes me agradaram.,2024-03-19
255,368,978-0-06-245771-4,1,Overhyped and underdelivered.,2024-02-28
256,368,978-84-204-8065-2,2,Could be better.,2024-03-04
257,368,978-0-14-310497-1,1,Nothing redeemable here.,2024-01-26
258,368,978-1-49-192912-2,4,A delightful read.,2024-02-04
259,368,978-84-376-0494-7,5,Beautifully written.,2024-03-03
260,886,978-84-663-5341-8,4,Bem escrito e envolvente.,2024-01-22
261,622,978-0-452-28423-4,5,Leitura obrigatória.,2024-03-03
262,622,978-1-49-205387-1,1,História sem sentido.,2024-02-06
263,622,978-0-06-245771-4,1,Horrível do começo ao fim.,2024-02-07
264,363,978-1-59327-950-9,4,Un libro para recomendar.,2024-02-24
265,363,978-1-49-205387-1,5,Una historia que no olvidaré fácilmente.,2024-02-26
266,363,978-84-376-0494-7,4,"Tiene algunos detalles, pero es muy bueno.",2024-01-30
267,833,978-0-385-07473-3,4,Bem escrito e envolvente.,2024-03-07
268,833,978-0-13-468599-1,5,Leitura obrigatória.,2024-01-29
269,459,978-1-49-192912-2,4,Leitura muito agradável.,2024-01-19
270,459,978-1-49-207126-4,3,Entretenimento razoável.,2024-02-09
271,459,978-1-49-205387-1,3,Aceitável considerando o preço.,2024-02-06
272,826,978-0-07-352340-8,4,Muito bom!,2024-03-17
273,826,978-0-14-310595-4,2,Poderia ser melhor.,2024-02-12
274,826,978-0-307-58846-7,4,História bem construída.,2024-03-24
275,826,978-84-664-0542-1,3,Bom para passar o tempo.,2024-02-05
276,508,978-0-14-310595-4,5,Loved every second of it.,2024-03-09
277,508,978-84-663-5341-8,1,Absolutely awful.,2024-02-25
278,508,978-1-49-192912-2,4,Worth reading for sure.,2024-01-19
279,508,978-0-525-51823-7,5,Beautifully written.,2024-02-02
280,688,978-0-59-600920-5,3,Algumas partes me agradaram.,2024-02-28
281,692,978-0-07-352340-8,5,A true gem.,2024-02-03
282,695,978-0-15-601219-5,3,Mildly entertaining.,2024-01-22
283,485,978-1-59-327599-0,1,Não gostei.,2024-02-18
284,384,978-0-7432-7358-9,5,Me emocionó muchísimo.,2024-03-07
285,384,978-0-06-231609-7,3,"Buena idea, ejecución promedio.",2024-02-25
286,338,978-84-204-8065-2,4,Ótimos personagens.,2024-03-13
287,443,978-0-07-352340-8,4,"Tiene mucho corazón, realmente disfruté.",2024-03-06
288,563,978-1-25-014405-8,4,"Tiene algunos detalles, pero es muy bueno.",2024-03-10
289,933,978-0-14-044926-6,4,Recomendado.,2024-03-01
290,933,978-1-59-327599-0,4,Muito bom!,2024-02-27
291,933,978-1-61-729608-6,5,Simplesmente magnífico.,2024-02-07
292,668,978-1-61-729443-3,1,História sem sentido.,2024-01-06
293,717,978-0-14-310595-4,4,Gostei bastante.,2024-03-07
294,717,978-0-06-231609-7,4,Leitura muito agradável.,2024-02-28
295,668,978-0-07-352340-8,3,Nada surpreendente.,2024-03-06
296,541,978-0-7432-7358-9,3,Entretenimento razoável.,2024-03-08
297,797,978-0-452-28423-4,4,Muito bom!,2024-02-21
298,269,978-85-508-0460-8,1,História sem sentido.,2024-02-13
299,635,978-1-59-327599-0,5,Perfeito do início ao fim.,2024-03-11
300,635,978-0-06-245771-4,1,Não gostei.,2024-02-13
301,691,978-1-49-204579-1,3,Algumas partes me agradaram.,2024-02-29
302,691,978-84-664-0542-1,3,Regular.,2024-02-26
303,691,978-0-385-07473-3,3,Regular.,2024-03-13
304,282,978-85-508-0460-8,1,Muito ruim.,2024-03-21
305,282,978-0-385-07473-3,3,"Leitura leve, nada especial.",2024-03-16
306,640,978-1-32-400189-1,2,Could be better.,2024-02-27
307,640,978-0-06-245771-4,3,Average experience.,2024-01-28
308,640,978-0-07-352340-8,4,Impressed me more than expected.,2024-02-26
309,867,978-84-670-5504-3,2,Me dejó una sensación amarga.,2024-01-18
310,867,978-84-664-0542-1,5,Perfecto de principio a fin.,2024-02-27
311,381,978-0-06-245771-4,4,Really good storytelling.,2024-02-06
312,366,978-0-13-468599-1,3,Aceitável considerando o preço.,2024-01-30
313,366,978-1-61-729608-6,4,Bem escrito e envolvente.,2024-03-01
314,944,978-0-7432-7357-2,4,"Muy bueno, recomendado.",2024-02-26
315,944,978-1-59327-992-9,1,No vale la pena ni el tiempo ni el dinero.,2024-02-01
316,826,978-0-06-245771-4,4,Muito bom!,2024-01-26
317,826,978-0-15-601219-5,5,Excelente!,2024-03-09
318,126,978-85-508-0460-8,4,História bem construída.,2024-02-27
319,126,978-0-7432-7358-9,5,Leitura obrigatória.,2024-02-16
320,126,978-0-06-231609-7,4,Muito bom!,2024-03-02
321,85,978-0-13-468599-1,2,"Tem boas ideias, mas execução fraca.",2024-01-31
322,85,978-84-376-0494-7,2,"Regular, nada demais.",2024-01-31
323,467,978-0-14-310497-1,1,Um livro que não recomendo.,2024-02-22
324,22,978-0-307-58846-7,3,Bom para passar o tempo.,2024-03-20
325,566,978-1-49-207126-4,5,Me emocionó muchísimo.,2024-02-16
326,777,978-0-13-468599-1,3,Cumpre o básico.,2024-01-05
327,677,978-0-385-07473-3,4,História bem construída.,2024-02-15
328,765,978-0-452-28831-7,5,Simplesmente magnífico.,2024-01-26
329,765,978-85-508-0460-8,4,Excelente quase o livro todo.,2024-03-15
330,303,978-1-49-192912-2,5,Una historia que no olvidaré fácilmente.,2024-01-28
331,303,978-84-204-8527-5,4,"Tiene mucho corazón, realmente disfruté.",2024-01-27
332,853,978-84-204-8065-2,3,Not bad at all.,2024-03-01
333,853,978-84-376-0494-7,4,Really good storytelling.,2024-01-22
334,853,978-0-15-601219-5,3,"Good in parts, weak in others.",2024-01-28
335,853,978-0-06-231609-7,2,A very average experience.,2024-01-22
336,358,978-1-61-729608-6,5,Phenomenal storytelling.,2024-01-17
337,358,978-0-7432-7358-9,5,Excellent!,2024-01-08
338,358,978-84-663-4265-8,1,Not worth the time.,2024-02-27
339,358,978-0-13-468599-1,4,"Very good, recommended.",2024-02-16
340,293,978-0-15-601219-5,1,No lo recomiendo bajo ningún motivo.,2024-03-23
341,293,978-0-452-28423-4,1,Pésima experiencia.,2024-02-27
342,293,978-85-508-0460-8,1,No lo recomiendo bajo ningún motivo.,2024-03-22
343,558,978-0-452-28831-7,3,Algumas partes me agradaram.,2024-01-31
344,558,978-0-06-231609-7,2,"Regular, nada demais.",2024-02-28
345,558,978-0-07-352340-8,5,Simplesmente magnífico.,2024-02-29
346,664,978-0-7432-7356-5,4,Lo volvería a leer.,2024-01-27
347,664,978-1-61-729443-3,2,Esperaba muchísimo más.,2024-03-03
348,664,978-1-61-729454-9,3,"Aceptable, aunque le falta profundidad.",2024-01-19
349,664,978-0-525-51823-7,1,"No pude terminarlo, muy malo.",2024-01-22
350,897,978-0-14-310497-1,2,Um pouco decepcionante.,2024-03-28
351,897,978-84-9838-137-0,5,Leitura obrigatória.,2024-03-12
352,897,978-0-06-231609-7,5,Leitura obrigatória.,2024-02-26
353,70,978-1-25-014405-8,4,Sorprendentemente bueno.,2024-01-14
354,70,978-0-13-468599-1,5,5 estrellas sin dudarlo.,2024-01-11
355,576,978-84-663-4265-8,4,Recomendado.,2024-02-11
356,244,978-1-61-729454-9,3,"Buena idea, ejecución promedio.",2024-02-13
357,196,978-1-61-729443-3,4,Fácil de recomendar.,2024-03-07
358,196,978-1-61-729608-6,5,Perfeito do início ao fim.,2024-03-09
359,196,978-0-13-468599-1,5,Perfeito do início ao fim.,2024-01-19
360,196,978-84-204-8527-5,3,Bom para passar o tempo.,2024-02-26
361,196,978-84-204-8065-2,5,Maravilhoso.,2024-01-24
362,493,978-84-663-5341-8,1,Chato e arrastado.,2024-02-21
363,248,978-0-452-28831-7,3,Entretenimento razoável.,2024-02-24
364,248,978-0-07-352340-8,2,Poderia ser melhor.,2024-03-03
365,248,978-1-61-729454-9,1,Não gostei.,2024-03-02
366,248,978-84-204-8065-2,5,Perfeito do início ao fim.,2024-01-09
367,233,978-0-7432-7358-9,3,"Leitura leve, nada especial.",2024-03-20
368,233,978-0-06-245771-4,2,"Regular, nada demais.",2024-03-21
369,233,978-1-32-400189-1,3,Nada surpreendente.,2024-03-13
370,772,978-85-508-0460-8,5,A brilliant work.,2024-03-02
371,772,978-1-61-729608-6,5,Perfect from start to finish.,2024-02-07
372,772,978-0-15-601219-5,3,"Solid, but not memorable.",2024-03-11
373,228,978-0-307-58846-7,5,Una experiencia que me marcó.,2024-01-31
374,228,978-1-61-729454-9,3,No lo amé pero tampoco lo odié.,2024-01-29
375,899,978-84-663-4265-8,4,Well written and engaging.,2024-02-05
376,899,978-85-508-0460-8,3,Middle of the road.,2024-02-28
377,899,978-0-06-231609-7,5,Perfect from start to finish.,2024-02-21
378,503,978-84-9838-137-0,5,Absolutely amazing.,2024-02-05
379,913,978-0-06-231609-7,1,Terrible quality.,2024-01-17
380,913,978-84-9838-137-0,2,A very average experience.,2024-03-07
381,525,978-0-15-601219-5,5,Um dos melhores que já li.,2024-02-04
382,265,978-1-61-729454-9,4,Well written and engaging.,2024-01-29
383,265,978-1-61-729443-3,3,Decent for the price.,2024-01-27
384,265,978-0-14-310595-4,5,Beautifully written.,2024-01-14
385,265,978-84-938-4620-5,1,Absolutely awful.,2024-02-07
386,591,978-0-7432-7358-9,1,Um livro que não recomendo.,2024-01-30
387,390,978-0-06-245771-4,5,Absolutely amazing.,2024-03-01
388,390,978-1-25-014405-8,3,Decent for the price.,2024-02-13
389,390,978-0-452-28423-4,3,Middle of the road.,2024-02-08
390,390,978-1-61-729443-3,5,A brilliant work.,2024-02-12
391,393,978-1-49-205387-1,5,Couldn’t put it down.,2024-01-25
392,393,978-1-32-400189-1,5,An emotional and powerful book.,2024-03-10
393,393,978-0-307-58846-7,3,Nothing special but enjoyable.,2024-03-13
394,393,978-0-7432-7356-5,5,Beautifully written.,2024-03-02
395,727,978-0-385-07473-3,1,No me gustó nada.,2024-03-03
